GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHEXPCS_PP|SCHEXPCS_PP_F|SCHEXPCSFSW_PP|SCHEXPCSFSW_PP_F|SCHEXPCSFEB_PP|SCHEXPCSFEB_PP_F|SCHEXPCSIT_PP|SCHEXPCSIT_PP_F|SCHEXPCSISW_PP|SCHEXPCSISW_PP_F|SCHEXPCSIEB_PP|SCHEXPCSIEB_PP_F|SCHEXPCSST_PP|SCHEXPCSST_PP_F|SCHEXPCSSPS_PP|SCHEXPCSSPS_PP_F|SCHEXPCSSIS_PP|SCHEXPCSSIS_PP_F|SCHEXPCSSGA_PP|SCHEXPCSSGA_PP_F|SCHEXPCSSSA_PP|SCHEXPCSSSA_PP_F
37|29|9700000US2928110|Shelby County R-IV School District, Missouri||2013|797||8458||4808||1433||5304||3369||975||2680||270||196||375||631|
37|29|9700000US2928140|North Shelby School District, Missouri||2013|295||10380||6308||1854||6342||4037||1231||3508||386||234||607||712|
37|29|9700000US2928170|Sheldon R-VIII School District, Missouri||2013|184||10495||6451||1587||5250||3701||880||4592||348||630||940||897|
37|29|9700000US2928260|Sikeston R-VI School District, Missouri||2013|3567||7750||4799||1253||4842||3253||893||2426||417||133||225||546|
37|29|9700000US2928290|Silex R-I School District, Missouri||2013|375||8251||4725||1381||4955||3176||944||2931||216||208||651||592|
37|29|9700000US2928360|Slater School District, Missouri||2013|350||9097||5411||1720||5594||3529||1137||3109||334||329||754||477|
37|29|9700000US2928380|Smithton R-VI School District, Missouri||2013|627||7766||4576||1364||4592||3088||923||2727||309||167||633||413|
37|29|9700000US2928410|Smithville R-II School District, Missouri||2013|2487||8390||5080||1362||5321||3592||974||2703||268||390||393||515|
37|29|9700000US2928430|South Callaway County R-II School District, Missouri||2013|835||10935||6707||2079||6067||4145||1262||4380||316||692||398||711|
37|29|9700000US2928470|South Iron County R-I School District, Missouri||2013|310||9984||5755||1694||5545||3632||1087||3784||303||184||810||658|
37|29|9700000US2928500|South Nodaway County R-IV School District, Missouri||2013|179||12687||7291||1983||7296||4760||1257||4782||620||207||944||994|
37|29|9700000US2928530|South Pemiscot County R-V School District, Missouri||2013|661||8782||4552||1327||5726||3393||1012||2584||321||274||396||399|
37|29|9700000US2928560|Southern Boone County R-I School District, Missouri||2013|1565||7875||4563||1312||4624||3108||915||2836||332||496||334||480|
